County/City,Ward,Pct,"Dwight D. Eisenhower","Adlai Stevenson","Eric Hass","Darlington Hoopes","Vincent Hallinan","All Others",Blanks,"Total Votes Cast"
,,,Republican,Democratic,"Socialist Labor","Social Democrat",Progressive
"Stafford County",,,"1,411","1,077",9,4,3,0,0,"2,504"
"Staunton City",,,"2,578",945,4,1,0,0,0,"3,528"
"Suffolk City",,,"1,622","1,209",2,3,1,0,0,"2,837"
"Surry County",,,414,572,9,11,0,0,0,"1,006"
"Sussex County",,,888,956,5,1,1,0,0,"1,851"
"Tazewell County",,,"3,232","2,527",22,3,5,0,0,"5,789"
"Virginia Beach City",,,"1,310",881,0,0,0,0,0,"2,191"
"Warren County",,,"1,888","1,362",8,3,0,0,0,"3,261"
"Warwick City",,,"3,307","2,806",3,5,3,0,0,"6,124"
"Washington County",,,"3,810","2,778",10,1,0,0,0,"6,599"
"Waynesboro City",,,"1,680",730,2,0,1,0,0,"2,413"
"Westmoreland County",,,"1,117",754,4,2,0,0,0,"1,877"
"Williamsburg City",,,797,483,1,2,0,0,0,"1,283"
"Winchester City",,,"2,375","1,055",1,1,0,0,0,"3,432"
"Wise County",,,"3,911","4,729",14,4,2,0,0,"8,660"
"Wythe County",,,"3,580","1,654",8,3,1,0,0,"5,246"
"York County",,,"1,335","1,287",12,8,0,0,0,"2,642"
TOTALS,,,"349,037","268,677","1,160",504,311,0,0,"619,689"
