County/City,Ward,Pct,"Ronald W. Reagan","Walter F. Mondale","Lyndon H. Larouche, Jr","All Others",Blanks,"Total Votes Cast"
,,,Republican,Democratic,Independent
"Prince William County (CD 7)",,,"8,969","3,226",37,0,0,"12,232"
"Prince William County (CD 8)",,,"26,023","12,405",143,0,0,"38,571"
"Pulaski County",,,"8,242","4,364",93,0,0,"12,699"
"Radford City",,,"2,855","1,781",33,0,0,"4,669"
"Rappahannock County",,,"1,696",999,12,0,0,"2,707"
"Richmond County",,,"1,869",830,31,0,0,"2,730"
"Richmond City",,,"38,754","49,408",466,0,0,"88,628"
"Roanoke County",,,"23,348","10,569",137,0,0,"34,054"
"Roanoke City",,,"19,008","17,300",184,0,0,"36,492"
"Rockbridge County",,,"4,067","2,098",29,0,0,"6,194"
"Rockingham County",,,"13,480","4,220",107,0,0,"17,807"
"Russell County",,,"5,738","6,760",101,0,0,"12,599"
"Salem City",,,"6,419","3,347",44,0,0,"9,810"
"Scott County",,,"5,804","3,904",113,0,0,"9,821"
"Shenandoah County",,,"9,048","2,771",81,0,0,"11,900"
"Smyth County",,,"8,593","4,102",116,0,0,"12,811"
"S. Boston City",,,"1,899",974,20,0,0,"2,893"
"Southampton County",,,"4,669","3,300",82,0,0,"8,051"
"Spotsylvania County",,,"8,207","4,012",78,0,0,"12,297"
"Stafford County (CD 7)",,,"5,704","2,345",36,0,0,"8,085"
"Stafford County (CD 8)",,,"4,589","2,084",24,0,0,"6,697"
"Staunton City",,,"6,137","2,012",47,0,0,"8,196"
"Suffolk City",,,"10,128","8,842",149,0,0,"19,119"
"Surry County",,,"1,462","1,875",33,0,0,"3,370"
"Sussex County",,,"2,183","2,408",140,0,0,"4,731"
"Tazewell County",,,"9,645","8,014",237,0,0,"17,896"
"Virginia Beach City",,,"72,571","24,703",320,0,0,"97,594"
"Warren County",,,"5,016","2,551",64,0,0,"7,631"
"Washington County",,,"12,132","5,573",121,0,0,"17,826"
"Waynesboro City",,,"4,465","1,579",35,0,0,"6,079"
"Westmoreland County",,,"3,219","2,363",81,0,0,"5,663"
"Williamsburg City",,,"1,913","1,469",20,0,0,"3,402"
"Winchester City",,,"5,055","2,064",33,0,0,"7,152"
"Wise County",,,"7,909","7,303",187,0,0,"15,399"
"Wythe County",,,"6,773","2,996",97,0,0,"9,866"
"York County",,,"10,214","4,063",60,0,0,"14,337"
TOTALS,,,"1,337,078","796,250","13,307",0,0,"2,146,635"
