County/City,Ward,Pct,"Dwight D. Eisenhower","Adlai Stevenson","T. Coleman Andrews, Jr","Darlington Hoopes","Eric Haas","All Others",Blanks,"Total Votes Cast"
,,,Republican,Democratic,"States' Rights","Virginia Social Democrat","Socialist Labor"
"Page County",,,"2,372","1,358",49,0,2,0,0,"3,781"
"Patrick County",,,"1,345","1,677",38,1,1,0,0,"3,062"
"Petersburg City",,,"3,166","1,882",395,3,3,0,0,"5,449"
"Pittsylvania County",,,"2,870","4,136",767,12,9,0,0,"7,794"
"Portsmouth City",,,"5,390","5,683",348,10,5,0,0,"11,436"
"Powhatan County",,,729,297,314,3,5,0,0,"1,348"
"Prince Edward County",,,932,437,"1,588",6,2,0,0,"2,965"
"Prince George County",,,689,642,149,6,4,0,0,"1,490"
"Prince William County",,,"2,023","1,851",95,0,1,0,0,"3,970"
"Princess Anne County",,,"4,675","4,342",227,3,6,0,0,"9,253"
"Pulaski County",,,"3,517","1,994",65,0,2,0,0,"5,578"
"Radford City",,,"1,910","1,118",28,0,2,0,0,"3,058"
"Rappahannock County",,,514,523,35,1,2,0,0,"1,075"
"Richmond County",,,761,274,85,1,0,0,0,"1,121"
"Richmond City",,,"27,367","10,758","6,136",17,13,0,0,"44,291"
"Roanoke County",,,"7,509","2,899",342,3,0,0,0,"10,753"
"Roanoke City",,,"16,708","6,751",611,6,6,0,0,"24,082"
"Rockbridge County",,,"2,273","1,039",106,0,0,0,0,"3,418"
"Rockingham County",,,"4,324","1,605",93,3,2,0,0,"6,027"
"Russell County",,,"3,550","3,641",25,4,4,0,0,"7,224"
"Scott County",,,"5,116","3,595",36,0,7,0,0,"8,754"
"Shenandoah County",,,"4,164","1,769",84,2,0,0,0,"6,019"
"Smyth County",,,"4,771","2,374",56,2,1,0,0,"7,204"
"S. Norfolk City",,,"1,521","1,871",212,1,4,0,0,"3,609"
"Southampton County",,,"1,290","2,039",317,8,1,0,0,"3,655"
"Spotsylvania County",,,"1,244",993,154,1,3,0,0,"2,395"
"Stafford County",,,"1,563",978,109,0,2,0,0,"2,652"
"Staunton City",,,"2,908",843,129,1,0,0,0,"3,881"
"Suffolk City",,,"1,617","1,103",88,4,0,0,0,"2,812"
"Surry County",,,425,616,259,7,0,0,0,"1,307"
"Sussex County",,,785,851,357,2,2,0,0,"1,997"
"Tazewell County",,,"3,960","3,495",75,1,4,0,0,"7,535"
"Virginia Beach City",,,"1,355","1,111",63,5,9,0,0,"2,543"
"Warren County",,,"2,003","1,322",77,3,0,0,0,"3,405"
"Warwick City",,,"4,872","3,406",352,6,4,0,0,"8,640"
"Washington County",,,"4,651","3,547",45,6,1,0,0,"8,250"
"Waynesboro City",,,"2,049",748,89,0,0,0,0,"2,886"
"Westmoreland County",,,"1,033",695,167,1,1,0,0,"1,897"
"Williamsburg City",,,775,362,99,1,1,0,0,"1,238"
"Winchester City",,,"2,375",945,96,1,2,0,0,"3,419"
"Wise County",,,"4,871","5,567",51,2,4,0,0,"10,495"
"Wythe County",,,"3,484","1,766",56,0,1,0,0,"5,307"
"York County",,,"1,759","1,064",100,2,2,0,0,"2,927"
TOTALS,,,"386,459","267,760","42,964",444,351,0,0,"697,978"
