County/City,Ward,Pct,"Franklin D. Roosevelt","Wendell Willkie","Roger Babson","Norman A. Thomas","Earl Browder","John W. Aiken","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Republican,Prohibition,Socialist,Communist,"Socialist Labor"
"Scott County",,,"2,474","2,982",6,1,0,1,0,0,"5,464"
"Shenandoah County",,,"2,450","3,527",9,5,0,0,0,0,"5,991"
"Smyth County",,,"2,420","2,134",10,2,3,1,0,0,"4,570"
"S. Norfolk City",,,920,156,0,0,0,0,0,0,"1,076"
"Southampton County",,,"1,508",213,9,3,0,0,0,0,"1,733"
"Spotsylvania County",,,785,365,4,0,0,0,0,0,"1,154"
"Stafford County",,,803,463,1,2,0,0,0,0,"1,269"
"Staunton City",,,"1,042",687,10,5,0,0,0,0,"1,744"
"Suffolk City",,,"1,215",383,0,0,0,0,0,0,"1,598"
"Surry County",,,658,120,0,0,0,0,0,0,778
"Sussex County",,,737,164,2,0,0,0,0,0,903
"Tazewell County",,,"3,108","2,356",5,1,0,2,0,0,"5,472"
"Warren County",,,"1,338",491,3,1,0,0,0,0,"1,833"
"Warwick County",,,"1,065",305,0,1,1,1,0,0,"1,373"
"Washington County",,,"3,245","2,697",24,8,0,2,0,0,"5,976"
"Westmoreland County",,,845,357,1,0,0,0,0,0,"1,203"
"Williamsburg City",,,367,168,2,3,1,0,0,0,541
"Winchester City",,,"1,114",945,7,1,0,0,0,0,"2,067"
"Wise County",,,"4,538","1,448",6,3,3,0,0,0,"5,998"
"Wythe County",,,"1,695","1,507",9,4,0,0,0,0,"3,215"
"York County",,,787,177,12,4,0,0,0,0,980
TOTALS,,,"235,961","109,363",882,282,71,48,0,0,"346,607"
