County/City,,,"Bush/ Cheney","Gore/ Lieberman","Nader/ La Duke","Browne/ Olivier","Buchanan/ Foster","Phillips/ Frazier","All Others",Blanks,"Total Votes Cast"
,,,Republican,Democratic,Green,Libertarian,Reform,Constitution
"Manassas City",,,"6,752","5,262",230,93,58,15,0,0,"12,410"
"Manassas Park City",,,"1,460","1,048",51,9,10,1,1,0,"2,580"
"Martinsville City",,,"2,560","3,048",59,12,5,2,8,0,"5,694"
"Mathews County",,,"2,951","1,499",88,54,11,6,0,0,"4,609"
"Mecklenburg County",,,"6,600","4,797",104,96,43,13,1,0,"11,654"
"Middlesex County",,,"2,844","1,671",84,66,17,5,2,0,"4,689"
"Montgomery County",,,"13,991","11,720","1,222",149,55,16,7,0,"27,160"
"Nelson County",,,"2,913","2,907",273,27,17,2,6,0,"6,145"
"New Kent County",,,"3,934","2,055",81,20,11,1,12,0,"6,114"
"Newport News City",,,"27,006","29,779",722,212,46,21,39,0,"57,825"
"Norfolk City",,,"21,920","38,221","1,153",364,89,29,170,0,"61,946"
"Northampton County",,,"2,299","2,340",108,121,16,8,0,0,"4,892"
"Northumberland County",,,"3,362","2,118",97,11,12,2,3,0,"5,605"
"Norton City",,,639,867,20,2,0,0,2,0,"1,530"
"Nottoway County",,,"2,870","2,460",46,98,14,4,0,0,"5,492"
"Orange County",,,"5,991","4,126",236,91,26,9,4,0,"10,483"
"Page County",,,"5,089","2,726",143,15,15,4,4,0,"7,996"
"Patrick County",,,"4,901","2,254",101,86,33,10,0,0,"7,385"
"Petersburg City",,,"2,109","8,751",117,49,22,11,3,0,"11,062"
"Pittsylvania County",,,"15,760","7,834",207,374,55,24,1,0,"24,255"
"Poquoson City",,,"4,271","1,448",93,41,5,0,3,0,"5,861"
"Portsmouth City",,,"12,628","22,286",348,126,37,7,23,0,"35,455"
"Powhatan County",,,"6,820","2,708",122,36,13,9,3,0,"9,711"
"Prince Edward County",,,"3,214","2,922",115,94,10,8,0,0,"6,363"
"Prince George County",,,"6,579","4,182",97,19,8,3,12,0,"10,900"
"Prince William County",,,"52,788","44,745","1,927",695,229,94,33,0,"100,511"
"Pulaski County",,,"7,089","5,255",207,86,40,17,3,0,"12,697"
"Radford City",,,"2,190","2,063",172,16,4,3,0,0,"4,448"
"Rappahannock County",,,"1,850","1,462",161,18,11,4,7,0,"3,513"
"Richmond County",,,"1,784","1,076",44,24,14,7,0,0,"2,949"
"Richmond City",,,"20,265","42,717","2,425",357,90,34,38,0,"65,926"
"Roanoke County",,,"25,740","16,141",681,169,57,20,9,0,"42,817"
"Roanoke City",,,"14,630","17,920",603,202,63,18,6,0,"33,442"
"Rockbridge County",,,"4,522","2,953",248,65,25,10,4,0,"7,827"
"Rockingham County",,,"17,482","5,834",539,53,45,29,12,0,"23,994"
"Russell County",,,"5,065","5,442",102,123,39,20,1,0,"10,792"
"Salem City",,,"6,188","4,348",181,31,11,3,8,0,"10,770"
"Scott County",,,"5,535","3,552",85,114,31,18,0,0,"9,335"
"Shenandoah County",,,"9,636","4,420",294,37,48,11,6,0,"14,452"
"Smyth County",,,"6,580","4,836",131,116,58,19,0,0,"11,740"
"Southampton County",,,"3,293","3,359",44,4,9,3,2,0,"6,714"
"Spotsylvania County",,,"20,739","13,455",586,94,79,32,36,0,"35,021"
"Stafford County",,,"20,731","12,596",657,120,69,30,43,0,"34,246"
"Staunton City",,,"4,878","3,324",278,18,10,6,0,0,"8,514"
"Suffolk City",,,"11,836","12,471",199,96,34,15,10,0,"24,661"
"Surry County",,,"1,313","1,845",29,30,8,5,0,0,"3,230"
"Sussex County",,,"1,745","2,006",41,83,20,11,0,0,"3,906"
"Tazewell County",,,"8,655","7,227",162,217,52,31,0,0,"16,344"
"Virginia Beach City",,,"83,674","62,268","2,370",809,220,56,374,0,"149,771"
"Warren County",,,"6,335","4,313",260,124,98,34,2,0,"11,166"
"Washington County",,,"12,064","7,549",288,232,56,31,2,0,"20,222"
"Waynesboro City",,,"4,084","2,737",233,22,16,5,5,0,"7,102"
"Westmoreland County",,,"2,932","2,922",88,59,17,8,0,0,"6,026"
"Williamsburg City",,,"1,777","1,724",188,21,7,6,2,0,"3,725"
"Winchester City",,,"4,314","3,318",209,27,16,1,1,0,"7,886"
"Wise County",,,"6,504","6,412",160,180,38,16,0,0,"13,310"
"Wythe County",,,"6,539","3,462",132,16,33,6,37,0,"10,225"
"York County",,,"15,312","8,622",480,114,27,13,15,0,"24,583"
TOTALS,,,"1,437,490","1,217,290","59,398","15,198","5,455","1,809","2,807",0,"2,739,447"
