County/City,,,"Dole/ Kemp","Clinton/ Gore","Perot/ Choate","Phillips/ Knight","Browne/ Jorgensen","Hagelin Tompkins","All Others",Blanks,"Total Votes Cast"
,,,Republican,Democratic,Reform,"Us Taxpayers Party",Libertarian,"Natural Law"
"Richmond City",,,"20,993","42,273","2,762",421,398,231,0,0,"67,078"
"Roanoke County",,,"20,700","15,387","2,934",196,134,70,0,0,"39,421"
"Roanoke City",,,"12,283","17,282","2,169",105,117,60,0,0,"32,016"
"Rockbridge County",,,"3,274","3,116",760,69,36,24,0,0,"7,279"
"Rockingham County",,,"14,035","5,867","1,318",394,53,40,0,0,"21,707"
"Russell County",,,"3,706","5,437",862,90,23,10,0,0,"10,128"
"Salem City",,,"4,936","4,282",796,25,29,11,0,0,"10,079"
"Scott County",,,"4,086","3,449",798,188,20,32,0,0,"8,573"
"Shenandoah County",,,"7,440","4,224","1,353",169,47,47,0,0,"13,280"
"Smyth County",,,"4,966","4,990","1,407",200,29,27,0,0,"11,619"
"Southampton County",,,"2,275","3,454",564,377,19,26,0,0,"6,715"
"Spotsylvania County",,,"13,786","10,342","1,860",136,52,21,0,0,"26,197"
"Stafford County",,,"14,098","9,902","1,856",113,80,40,0,0,"26,089"
"Staunton City",,,"4,526","3,162",605,98,20,24,0,0,"8,435"
"Suffolk City",,,"8,572","10,827","1,266",37,42,10,0,0,"20,754"
"Surry County",,,944,"1,753",181,38,11,11,0,0,"2,938"
"Sussex County",,,"1,378","2,089",256,33,16,20,0,0,"3,792"
"Tazewell County",,,"6,131","7,500","1,554",191,35,29,0,0,"15,440"
"Virginia Beach City",,,"63,741","52,142","9,328",181,408,143,0,0,"125,943"
"Warren County",,,"4,657","3,814",904,220,39,18,0,0,"9,652"
"Washington County",,,"9,098","6,939","1,654",382,50,46,0,0,"18,169"
"Waynesboro City",,,"3,466","2,398",462,197,38,15,0,0,"6,576"
"Westmoreland County",,,"2,333","2,949",427,50,20,9,0,0,"5,788"
"Williamsburg City",,,"1,560","1,820",162,18,23,9,0,0,"3,592"
"Winchester City",,,"3,681","3,027",434,33,35,12,0,0,"7,222"
"Wise County",,,"4,660","6,712","1,478",181,39,22,0,0,"13,092"
"Wythe County",,,"4,274","3,275",955,20,14,11,0,0,"8,549"
"York County",,,"11,396","7,731","1,469",59,55,28,0,0,"20,738"
TOTALS,,,"1,138,350","1,091,060","159,861","13,687","9,174","4,510",0,0,"2,416,642"
