County/City,,,"Barack Obama","John McCain","Ralph Nader","Bob Barr","Chuck Baldwin","Cynthia McKinney","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Republican,Independent,Libertarian,Independent,Green
"Lynchburg City",,,"16,269","17,638",78,146,157,8,45,0,"34,341"
"Madison County",,,"2,862","3,758",31,20,21,5,2,0,"6,699"
"Manassas City",,,"7,518","5,975",30,41,32,10,21,0,"13,627"
"Manassas Park City",,,"2,463","1,634",13,10,13,1,6,0,"4,140"
"Martinsville City",,,"4,139","2,311",21,13,26,3,7,0,"6,520"
"Mathews County",,,"1,934","3,456",9,14,17,6,4,0,"5,440"
"Mecklenburg County",,,"7,127","7,817",39,39,41,15,4,0,"15,082"
"Middlesex County",,,"2,391","3,545",20,27,13,3,7,0,"6,006"
"Montgomery County",,,"21,031","19,028",148,215,102,36,93,0,"40,653"
"Nelson County",,,"4,391","3,647",32,23,15,6,19,0,"8,133"
"New Kent County",,,"3,493","6,385",36,28,19,16,14,0,"9,991"
"Newport News City",,,"51,972","28,667",187,171,137,44,117,0,"81,295"
"Norfolk City",,,"62,819","24,814",209,271,147,45,141,0,"88,446"
"Northampton County",,,"3,800","2,713",21,22,16,4,10,0,"6,586"
"Northumberland County",,,"3,312","4,041",19,15,6,1,12,0,"7,406"
"Norton City",,,743,744,16,1,2,1,5,0,"1,512"
"Nottoway County",,,"3,413","3,499",25,25,19,4,3,0,"6,988"
"Orange County",,,"7,107","8,506",68,47,41,10,22,0,"15,801"
"Page County",,,"4,235","6,041",54,14,25,3,17,0,"10,389"
"Patrick County",,,"2,879","5,491",66,39,34,9,13,0,"8,531"
"Petersburg City",,,"13,774","1,583",68,28,39,35,13,0,"15,540"
"Pittsylvania County",,,"11,415","18,730",96,76,62,25,29,0,"30,433"
"Poquoson City",,,"1,748","5,229",27,32,10,5,14,0,"7,065"
"Portsmouth City",,,"32,327","13,984",90,113,68,12,71,0,"46,665"
"Powhatan County",,,"4,237","10,088",36,37,23,14,21,0,"14,456"
"Prince Edward County",,,"5,101","4,174",33,38,26,10,6,0,"9,388"
"Prince George County",,,"7,130","8,752",47,23,27,11,16,0,"16,006"
"Prince William County",,,"93,435","67,621",422,362,291,73,242,0,"162,446"
"Pulaski County",,,"5,918","8,857",102,69,52,29,23,0,"15,050"
"Radford City",,,"2,930","2,418",29,22,21,5,4,0,"5,429"
"Rappahannock County",,,"2,105","2,227",32,13,13,4,11,0,"4,405"
"Richmond County",,,"1,618","2,092",11,5,13,4,2,0,"3,745"
"Richmond City",,,"73,623","18,649",223,296,107,74,113,0,"93,085"
"Roanoke County",,,"19,812","30,571",167,166,133,41,85,0,"50,975"
"Roanoke City",,,"24,934","15,394",138,135,91,21,59,0,"40,772"
"Rockbridge County",,,"4,347","5,732",26,32,25,11,22,0,"10,195"
"Rockingham County",,,"10,453","22,468",147,110,64,27,65,0,"33,334"
"Russell County",,,"4,932","6,389",82,22,35,7,27,0,"11,494"
"Salem City",,,"5,164","7,088",35,48,39,9,23,0,"12,406"
"Scott County",,,"2,725","6,980",48,33,52,9,28,0,"9,875"
"Shenandoah County",,,"6,912","12,005",89,79,63,20,55,0,"19,223"
"Smyth County",,,"4,239","7,817",84,38,72,15,37,0,"12,302"
"Southampton County",,,"4,402","4,583",23,17,31,5,6,0,"9,067"
"Spotsylvania County",,,"24,897","28,610",206,121,118,36,81,0,"54,069"
"Stafford County",,,"25,716","29,221",160,137,85,19,117,0,"55,455"
"Staunton City",,,"5,569","5,330",39,31,24,4,18,0,"11,015"
"Suffolk City",,,"22,446","17,165",57,105,71,19,45,0,"39,908"
"Surry County",,,"2,626","1,663",8,8,14,6,0,0,"4,325"
"Sussex County",,,"3,301","2,026",9,6,13,6,2,0,"5,363"
"Tazewell County",,,"5,596","11,201",92,32,72,20,48,0,"17,061"
"Virginia Beach City",,,"98,885","100,319",542,635,394,114,360,0,"201,249"
"Warren County",,,"6,997","8,879",64,50,86,13,37,0,"16,126"
"Washington County",,,"8,063","16,077",112,84,96,20,48,0,"24,500"
"Waynesboro City",,,"3,906","4,815",41,44,36,5,13,0,"8,860"
"Westmoreland County",,,"4,577","3,719",29,16,22,7,7,0,"8,377"
"Williamsburg City",,,"4,328","2,353",22,41,14,4,25,0,"6,787"
"Winchester City",,,"5,268","4,725",54,22,30,13,14,0,"10,126"
"Wise County",,,"4,995","8,914",95,28,54,11,41,0,"14,138"
"Wythe County",,,"4,107","8,207",70,30,42,7,28,0,"12,491"
"York County",,,"13,700","19,833",111,124,65,14,50,0,"33,897"
TOTALS,,,"1,959,532","1,725,005","11,483","11,067","7,474","2,344","6,355",0,"3,723,260"
