County/City,Ward,Pct,"George H. Bush","Michael S. Dukakis","Lenora Fulani","Ron Paul","All Others",Blanks,"Total Votes Cast"
,,,Republican,Democratic,Independent,Libertarian
"Page County",,,"5,013","2,499",35,28,0,0,"7,575"
"Patrick County",,,"3,990","2,093",124,22,0,0,"6,229"
"Petersburg City",,,"4,231","8,177",131,52,0,0,"12,591"
"Pittsylvania County",,,"12,229","6,612",283,77,0,0,"19,201"
"Poquoson City",,,"3,840",877,18,16,0,0,"4,751"
"Portsmouth City",,,"16,087","19,698",166,108,0,0,"36,059"
"Powhatan County",,,"4,040","1,467",16,18,0,0,"5,541"
"Prince Edward County",,,"3,147","2,434",95,44,0,0,"5,720"
"Prince George County",,,"4,982","2,469",38,26,0,0,"7,515"
"Prince William County (CD 7)",,,"9,520","3,886",99,46,0,0,"13,551"
"Prince William County (CD 8)",,,"30,134","15,312",335,121,0,0,"45,902"
"Pulaski County",,,"6,844","4,686",140,49,0,0,"11,719"
"Radford City",,,"2,481","1,855",21,8,0,0,"4,365"
"Rappahannock County",,,"1,657","1,003",8,18,0,0,"2,686"
"Richmond County",,,"1,862",924,15,10,0,0,"2,811"
"Richmond City",,,"31,586","42,155",639,356,0,0,"74,736"
"Roanoke County",,,"22,011","12,938",115,93,0,0,"35,157"
"Roanoke City",,,"15,389","17,185",132,107,0,0,"32,813"
"Rockbridge County",,,"3,541","2,412",65,44,0,0,"6,062"
"Rockingham County",,,"13,241","4,716",190,94,0,0,"18,241"
"Russell County",,,"4,374","6,222",130,27,0,0,"10,753"
"Salem City",,,"5,694","3,760",40,33,0,0,"9,527"
"Scott County",,,"4,986","3,616",139,44,0,0,"8,785"
"Shenandoah County",,,"8,612","3,276",67,49,0,0,"12,004"
"Smyth County",,,"7,446","3,989",236,56,0,0,"11,727"
"S. Boston City",,,"1,694",936,11,4,0,0,"2,645"
"Southampton County",,,"3,439","3,000",35,19,0,0,"6,493"
"Spotsylvania County",,,"10,978","5,486",84,45,0,0,"16,593"
"Stafford County (CD 7)",,,"6,168","2,696",24,17,0,0,"8,905"
"Stafford County (CD 8)",,,"6,066","2,684",31,26,0,0,"8,807"
"Staunton City",,,"5,775","2,457",87,15,0,0,"8,334"
"Suffolk City",,,"9,742","8,080",79,49,0,0,"17,950"
"Surry County",,,"1,246","1,602",22,29,0,0,"2,899"
"Sussex County",,,"1,822","1,958",79,37,0,0,"3,896"
"Tazewell County",,,"7,165","8,098",152,38,0,0,"15,453"
"Virginia Beach City",,,"76,481","33,780",397,360,0,0,"111,018"
"Warren County",,,"4,700","2,769",103,26,0,0,"7,598"
"Washington County",,,"10,722","5,819",293,65,0,0,"16,899"
"Waynesboro City",,,"4,672","2,038",67,22,0,0,"6,799"
"Westmoreland County",,,"2,974","2,311",60,25,0,0,"5,370"
"Williamsburg City",,,"1,648","1,534",26,29,0,0,"3,237"
"Winchester City",,,"4,497","2,300",25,40,0,0,"6,862"
"Wise County",,,"6,189","7,017",130,50,0,0,"13,386"
"Wythe County",,,"5,827","3,201",170,27,0,0,"9,225"
"York County",,,"11,103","4,639",84,45,0,0,"15,871"
TOTALS,,,"1,309,162","859,799","14,312","8,336",0,0,"2,191,609"
